CSVNum,GoodsID,GoodsName,GoodsDesc,GoodsImg
0,1011,수아 컵홀더,"콩게 커피의 컵홀더.
처음으로 마법소녀를 알게 된 날의 기념품이다.",Goods1011
1,2011,바다 컵홀더,"콩게 커피의 컵홀더.
처음으로 마법소녀를 알게 된 날의 기념품이다.",Goods2011
2,3011,초롱 컵홀더,"콩게 커피의 컵홀더.
처음으로 마법소녀를 알게 된 날의 기념품이다.",Goods3011
3,1012,수아 뱃지,"편의점에서 판매되는 마법소녀 랜덤 뱃지.
안에 어떤 캐릭터가 있을지는 뜯기 전까지 모른다.",Goods1012
4,2012,바다 뱃지,"편의점에서 판매되는 마법소녀 랜덤 뱃지.
안에 어떤 캐릭터가 있을지는 뜯기 전까지 모른다.",Goods2012
5,3012,초롱 뱃지,"편의점에서 판매되는 마법소녀 랜덤 뱃지.
안에 어떤 캐릭터가 있을지는 뜯기 전까지 모른다.",Goods3012
6,1021,수아 키링,"뽑기 기계에서만 얻을 수 있는 비매품 키링.
인생은 타이밍이다.",Goods1021
7,2021,바다 키링,"뽑기 기계에서만 얻을 수 있는 비매품 키링.
인생은 타이밍이다.",Goods2021
8,3021,초롱 키링,"뽑기 기계에서만 얻을 수 있는 비매품 키링.
인생은 타이밍이다.",Goods3021
9,1022,수아 L자 홀더,"그날의 본 눈물의 의미를 우리는 이미 안다.
자국은 남지 않았으니 안심해도 괜찮다.",Goods1022
10,2022,바다 L자 홀더,"그날의 본 눈물의 의미를 우리는 이미 안다.
자국은 남지 않았으니 안심해도 괜찮다.",Goods2022
11,3022,초롱 L자 홀더,"그날의 본 눈물의 의미를 우리는 이미 안다.
자국은 남지 않았으니 안심해도 괜찮다.",Goods3022
12,1031,수아 포토카드,"자몽마켓의 초등학생 거래자에게서 얻어 낸 포토카드.
어른도 마법소녀를 좋아하냐는 말을 100번 들었다.",Goods1031
13,2031,바다 포토카드,"자몽마켓의 초등학생 거래자에게서 얻어 낸 포토카드.
어른도 마법소녀를 좋아하냐는 말을 100번 들었다.",Goods2031
14,3031,초롱 포토카드,"자몽마켓의 초등학생 거래자에게서 얻어 낸 포토카드.
어른도 마법소녀를 좋아하냐는 말을 100번 들었다.",Goods3031
15,1032,수아 머그컵,"어차피 물만 마시겠지만,
그래도 마법소녀 컵에 마시면 기분이 좋다.",Goods1032
16,2032,바다 머그컵,"어차피 물만 마시겠지만,
그래도 마법소녀 컵에 마시면 기분이 좋다.",Goods2032
17,3032,초롱 머그컵,"어차피 물만 마시겠지만,
그래도 마법소녀 컵에 마시면 기분이 좋다.",Goods3032
